C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
1,3,14,3,1,1,1,1,18,1,0,54,11,1,2,1,14
8,2,9,2,2,1,1,1,18,1,1,34,11,1,2,1,3
11,5,12,2,1,1,1,1,18,1,0,81,11,1,2,1,1
8,3,2,3,2,1,1,1,18,1,1,30,11,1,2,1,10
1,5,19,2,1,1,5,1,18,1,1,44,11,1,2,1,13
8,5,3,2,1,1,1,1,18,1,0,20,11,1,2,1,14
7,5,16,2,3,1,1,1,18,1,1,50,11,1,2,1,3
10,6,3,3,1,1,1,1,18,1,1,19,21,1,13,2,2
9,6,19,2,1,1,1,1,18,1,1,45,11,1,2,1,9
8,7,19,2,1,1,1,1,18,14,0,51,11,1,1,5,2
10,4,2,2,1,6,1,1,5,1,0,43,11,1,1,1,11
7,7,5,2,1,1,1,1,18,1,1,29,11,1,2,1,4
6,7,22,2,1,1,1,1,18,1,1,21,11,1,1,1,10
2,1,18,2,1,1,1,1,18,1,1,19,11,1,2,1,7
4,6,0,2,1,1,5,1,18,1,0,27,11,1,2,1,5
10,3,16,2,1,1,1,1,18,1,1,22,11,1,2,1,7
2,3,6,2,1,6,3,1,18,1,1,3,21,1,2,2,4
6,7,19,2,2,1,1,1,1,1,1,68,13,1,2,2,2
3,7,17,2,1,6,3,3,18,1,0,44,11,1,2,1,11
6,7,2,2,1,1,1,1,18,1,1,25,11,1,2,1,17
12,3,22,2,1,1,2,1,18,7,0,56,11,1,2,1,6
10,3,9,2,1,1,1,1,18,1,1,18,11,1,2,1,17
6,7,20,2,1,1,1,1,18,1,0,24,11,1,2,1,17
11,5,9,3,1,1,1,1,18,1,1,56,11,1,12,1,3
12,1,17,3,1,3,2,1,18,1,0,75,11,1,2,1,0
6,7,16,2,1,1,1,1,18,1,1,59,11,1,2,1,6
11,3,21,3,2,3,2,1,1,1,1,23,13,1,2,2,8
8,1,7,2,2,1,1,3,18,1,1,54,11,1,2,1,15
6,2,23,2,1,1,1,1,18,1,0,22,11,1,2,1,9
12,7,15,2,1,2,2,1,18,1,0,68,11,1,2,1,2
6,7,1,4,1,1,1,1,18,1,1,26,11,1,2,1,15
9,5,13,2,1,1,1,1,18,1,1,59,11,1,2,1,9
1,7,7,2,2,2,2,1,18,1,1,47,11,1,2,1,2
5,1,7,2,1,1,1,1,18,1,1,40,11,1,2,1,6
1,5,14,2,1,1,3,1,18,1,1,75,11,1,2,1,13
8,3,5,2,1,6,1,3,18,1,0,25,11,1,2,1,13
2,1,8,2,1,1,1,1,18,1,1,31,11,1,2,1,10
8,6,1,2,3,1,1,3,18,1,0,35,11,1,1,1,8
3,1,2,2,1,1,6,3,18,1,0,38,11,1,2,1,15
